order_date,year,month,day
2015-09-07,2015,9,7
2015-07-08,2015,7,8
2015-03-14,2015,3,14
2015-01-28,2015,1,28
2015-04-08,2015,4,8
2015-05-25,2015,5,25
2015-04-18,2015,4,18
2015-12-16,2015,12,16
2015-11-24,2015,11,24
2015-03-26,2015,3,26
2015-10-19,2015,10,19
2015-03-28,2015,3,28
2015-06-02,2015,6,2
2015-10-21,2015,10,21
2015-11-19,2015,11,19
2015-12-02,2015,12,2
2015-12-09,2015,12,9
2015-08-27,2015,8,27
2015-12-22,2015,12,22
2015-12-07,2015,12,7
2015-12-26,2015,12,26
2015-04-20,2015,4,20
2015-09-12,2015,9,12
2015-11-28,2015,11,28
2015-12-15,2015,12,15
2015-03-31,2015,3,31
2015-11-17,2015,11,17
2015-10-28,2015,10,28
2015-09-30,2015,9,30
2015-10-04,2015,10,4
2015-11-21,2015,11,21
2015-12-29,2015,12,29
2015-01-23,2015,1,23
2015-04-06,2015,4,6
2015-11-01,2015,11,1
2015-09-09,2015,9,9
2015-04-05,2015,4,5
2015-07-23,2015,7,23
2015-10-17,2015,10,17
2015-12-20,2015,12,20
2015-09-22,2015,9,22
2015-11-09,2015,11,9
2015-05-10,2015,5,10
2015-07-05,2015,7,5
2015-08-26,2015,8,26
2015-01-15,2015,1,15
2015-05-18,2015,5,18
2015-05-30,2015,5,30
2015-10-10,2015,10,10
2015-11-30,2015,11,30
2015-08-25,2015,8,25
2015-02-23,2015,2,23
2015-01-03,2015,1,3
2015-05-11,2015,5,11
2015-09-17,2015,9,17
2015-03-19,2015,3,19
2015-03-01,2015,3,1
2015-06-27,2015,6,27
2015-06-17,2015,6,17
2015-03-07,2015,3,7
2015-12-30,2015,12,30
2015-12-08,2015,12,8
2015-05-21,2015,5,21
2015-02-04,2015,2,4
2015-11-18,2015,11,18
2015-04-04,2015,4,4
2015-11-11,2015,11,11
2015-11-22,2015,11,22
2015-01-07,2015,1,7
2015-03-03,2015,3,3
2015-01-06,2015,1,6
2015-06-07,2015,6,7
2015-12-05,2015,12,5
2015-10-31,2015,10,31
2015-09-05,2015,9,5
2015-08-24,2015,8,24
2015-12-06,2015,12,6
2015-05-14,2015,5,14
2015-09-02,2015,9,2
2015-09-28,2015,9,28
2015-11-02,2015,11,2
2015-03-02,2015,3,2
2015-12-12,2015,12,12
2015-07-02,2015,7,2
2015-02-14,2015,2,14
2015-02-07,2015,2,7
2015-04-29,2015,4,29
2015-09-08,2015,9,8
2015-06-08,2015,6,8
2015-02-06,2015,2,6
2015-10-02,2015,10,2
2015-10-24,2015,10,24
2015-05-28,2015,5,28
2015-10-03,2015,10,3
2015-08-15,2015,8,15
2015-12-21,2015,12,21
2015-11-05,2015,11,5
2015-06-30,2015,6,30
2015-01-13,2015,1,13
2015-08-12,2015,8,12
2015-02-20,2015,2,20
2015-10-06,2015,10,6
2015-09-01,2015,9,1
2015-07-21,2015,7,21
2015-07-14,2015,7,14
2015-08-05,2015,8,5
2015-10-22,2015,10,22
2015-04-25,2015,4,25
2015-07-12,2015,7,12
2015-05-05,2015,5,5
2015-11-23,2015,11,23
2015-10-18,2015,10,18
2015-08-09,2015,8,9
2015-04-11,2015,4,11
2015-08-23,2015,8,23
2015-06-01,2015,6,1
2015-02-03,2015,2,3
2015-12-31,2015,12,31
2015-07-30,2015,7,30
2015-08-17,2015,8,17
2015-06-29,2015,6,29
2015-04-23,2015,4,23
2015-03-18,2015,3,18
2015-05-04,2015,5,4
2015-09-29,2015,9,29
2015-01-04,2015,1,4
2015-09-11,2015,9,11
2015-12-24,2015,12,24
2015-07-09,2015,7,9
2015-09-14,2015,9,14
2015-09-10,2015,9,10
2015-12-13,2015,12,13
2015-05-13,2015,5,13
2015-09-13,2015,9,13
2015-06-16,2015,6,16
2015-09-23,2015,9,23
2015-10-11,2015,10,11
2015-08-20,2015,8,20
2015-12-23,2015,12,23
2015-06-13,2015,6,13
2015-03-11,2015,3,11
2015-05-02,2015,5,2
2015-09-26,2015,9,26
2015-01-31,2015,1,31
2015-08-06,2015,8,6
2015-01-16,2015,1,16
2015-06-09,2015,6,9
2015-07-15,2015,7,15
2015-07-26,2015,7,26
2015-03-04,2015,3,4
2015-11-15,2015,11,15
2015-12-14,2015,12,14
2015-05-08,2015,5,8
2015-04-26,2015,4,26
2015-08-01,2015,8,1
2015-10-07,2015,10,7
2015-07-22,2015,7,22
2015-09-21,2015,9,21
2015-03-17,2015,3,17
2015-04-28,2015,4,28
2015-11-27,2015,11,27
2015-11-16,2015,11,16
