order_id,order_date,product_id,category_id,region_id,sales
CA-2017-152156,08/11/2017,FUR-BO-10001798,1,1,261.96
CA-2017-152156,08/11/2017,FUR-CH-10000454,2,1,731.94
CA-2017-138688,12/06/2017,OFF-LA-10000240,3,2,14.62
US-2016-108966,11/10/2016,FUR-TA-10000577,4,3,957.5775
US-2016-108966,11/10/2016,OFF-ST-10000760,5,3,22.368
CA-2015-115812,09/06/2015,FUR-FU-10001487,6,4,48.86
CA-2015-115812,09/06/2015,OFF-AR-10002833,7,4,7.28
CA-2015-115812,09/06/2015,TEC-PH-10002275,8,4,907.152
CA-2015-115812,09/06/2015,OFF-BI-10003910,9,4,18.504
CA-2015-115812,09/06/2015,OFF-AP-10002892,10,4,114.9
CA-2015-115812,09/06/2015,FUR-TA-10001539,4,4,1706.184
CA-2015-115812,09/06/2015,TEC-PH-10002033,8,4,911.424
CA-2018-114412,15/04/2018,OFF-PA-10002365,11,5,15.552
CA-2017-161389,05/12/2017,OFF-BI-10003656,9,6,407.976
US-2016-118983,22/11/2016,OFF-AP-10002311,10,7,68.81
US-2016-118983,22/11/2016,OFF-BI-10000756,9,7,2.544
CA-2015-105893,11/11/2015,OFF-ST-10004186,5,8,665.88
CA-2015-167164,13/05/2015,OFF-ST-10000107,5,9,55.5
CA-2015-143336,27/08/2015,OFF-AR-10003056,7,10,8.56
CA-2015-143336,27/08/2015,TEC-PH-10001949,8,10,213.48
CA-2015-143336,27/08/2015,OFF-BI-10002215,9,10,22.72
CA-2017-137330,09/12/2017,OFF-AR-10000246,7,11,19.46
CA-2017-137330,09/12/2017,OFF-AP-10001492,10,11,60.34
US-2018-156909,16/07/2018,FUR-CH-10002774,2,12,71.372
CA-2016-106320,25/09/2016,FUR-TA-10000577,4,13,1044.63
CA-2017-121755,16/01/2017,OFF-BI-10001634,9,14,11.648
CA-2017-121755,16/01/2017,TEC-AC-10003027,12,14,90.57
US-2016-150630,17/09/2016,FUR-BO-10004834,1,12,3083.43
US-2016-150630,17/09/2016,OFF-BI-10000474,9,12,9.618
US-2016-150630,17/09/2016,FUR-FU-10004848,6,12,124.2
US-2016-150630,17/09/2016,OFF-EN-10001509,13,12,3.264
US-2016-150630,17/09/2016,OFF-AR-10004042,7,12,86.304
US-2016-150630,17/09/2016,OFF-BI-10001525,9,12,6.858
US-2016-150630,17/09/2016,OFF-AR-10001683,7,12,15.76
CA-2018-107727,19/10/2018,OFF-PA-10000249,11,15,29.472
CA-2017-117590,08/12/2017,TEC-PH-10004977,8,16,1097.544
CA-2017-117590,08/12/2017,FUR-FU-10003664,6,16,190.92
CA-2016-117415,27/12/2016,OFF-EN-10002986,13,17,113.328
CA-2016-117415,27/12/2016,FUR-BO-10002545,1,17,532.3992
CA-2016-117415,27/12/2016,FUR-CH-10004218,2,17,212.058
CA-2016-117415,27/12/2016,TEC-PH-10000486,8,17,371.168
CA-2018-120999,10/09/2018,TEC-PH-10004093,8,18,147.168
CA-2017-101343,17/07/2017,OFF-ST-10003479,5,14,77.88
CA-2018-139619,19/09/2018,OFF-ST-10003282,5,19,95.616
CA-2017-118255,11/03/2017,TEC-AC-10000171,12,20,45.98
CA-2017-118255,11/03/2017,OFF-BI-10003291,9,20,17.46
CA-2015-146703,20/10/2015,OFF-ST-10001713,5,21,211.96
CA-2017-169194,20/06/2017,TEC-AC-10002167,12,22,45.0
CA-2017-169194,20/06/2017,TEC-PH-10003988,8,22,21.8
CA-2016-115742,18/04/2016,OFF-BI-10004410,9,23,38.22
CA-2016-115742,18/04/2016,OFF-LA-10002762,3,23,75.18
CA-2016-115742,18/04/2016,FUR-FU-10001706,6,23,6.16
CA-2016-115742,18/04/2016,FUR-CH-10003061,2,23,89.99
CA-2017-105816,11/12/2017,OFF-FA-10000304,14,24,15.26
CA-2017-105816,11/12/2017,TEC-PH-10002447,8,24,1029.95
CA-2017-111682,17/06/2017,OFF-ST-10000604,5,25,208.56
CA-2017-111682,17/06/2017,OFF-PA-10001569,11,25,32.4
CA-2017-111682,17/06/2017,FUR-CH-10003968,2,25,319.41
CA-2017-111682,17/06/2017,OFF-PA-10000587,11,25,14.56
CA-2017-111682,17/06/2017,TEC-AC-10002167,12,25,30.0
CA-2017-111682,17/06/2017,OFF-BI-10001460,9,25,48.48
CA-2017-111682,17/06/2017,OFF-AR-10001868,7,25,1.68
CA-2016-135545,24/11/2016,TEC-AC-10004633,12,26,13.98
CA-2016-135545,24/11/2016,OFF-BI-10001078,9,26,25.824
CA-2016-135545,24/11/2016,OFF-PA-10003892,11,26,146.73
CA-2016-135545,24/11/2016,FUR-FU-10000397,6,26,79.76
US-2016-164175,30/04/2016,FUR-CH-10001146,2,27,213.115
CA-2015-106376,05/12/2015,OFF-AR-10002671,7,28,1113.024
CA-2015-106376,05/12/2015,TEC-PH-10002726,8,28,167.968
CA-2017-119823,04/06/2017,OFF-PA-10000482,11,29,75.88
CA-2017-106075,18/09/2017,OFF-BI-10004654,9,30,4.616
CA-2018-114440,14/09/2018,OFF-PA-10004675,11,31,19.05
US-2016-134026,26/04/2016,FUR-CH-10000513,2,32,831.936
US-2016-134026,26/04/2016,FUR-FU-10003708,6,32,97.04
US-2016-134026,26/04/2016,OFF-ST-10004123,5,32,72.784
US-2018-118038,09/12/2018,OFF-BI-10004182,9,17,1.248
US-2018-118038,09/12/2018,FUR-FU-10000260,6,17,9.708
US-2018-118038,09/12/2018,OFF-ST-10000615,5,17,27.24
US-2015-147606,26/11/2015,FUR-FU-10003194,6,33,19.3
CA-2017-127208,12/06/2017,OFF-AP-10002118,10,34,208.16
CA-2017-127208,12/06/2017,OFF-BI-10002309,9,34,16.74
