order_id,order_date,category,sub_category,region,sales
CA-2017-152156,08/11/2017,Furniture,Bookcases,South,261.96
CA-2017-152156,08/11/2017,Furniture,Chairs,South,731.94
CA-2017-138688,12/06/2017,Office Supplies,Labels,West,14.62
US-2016-108966,11/10/2016,Furniture,Tables,South,957.5775
US-2016-108966,11/10/2016,Office Supplies,Storage,South,22.368
CA-2015-115812,09/06/2015,Furniture,Furnishings,West,48.86
CA-2015-115812,09/06/2015,Office Supplies,Art,West,7.28
CA-2015-115812,09/06/2015,Technology,Phones,West,907.152
CA-2015-115812,09/06/2015,Office Supplies,Binders,West,18.504
CA-2015-115812,09/06/2015,Office Supplies,Appliances,West,114.9
CA-2015-115812,09/06/2015,Furniture,Tables,West,1706.184
CA-2015-115812,09/06/2015,Technology,Phones,West,911.424
CA-2018-114412,15/04/2018,Office Supplies,Paper,South,15.552
CA-2017-161389,05/12/2017,Office Supplies,Binders,West,407.976
US-2016-118983,22/11/2016,Office Supplies,Appliances,Central,68.81
US-2016-118983,22/11/2016,Office Supplies,Binders,Central,2.544
CA-2015-105893,11/11/2015,Office Supplies,Storage,Central,665.88
CA-2015-167164,13/05/2015,Office Supplies,Storage,West,55.5
CA-2015-143336,27/08/2015,Office Supplies,Art,West,8.56
CA-2015-143336,27/08/2015,Technology,Phones,West,213.48
CA-2015-143336,27/08/2015,Office Supplies,Binders,West,22.72
CA-2017-137330,09/12/2017,Office Supplies,Art,Central,19.46
CA-2017-137330,09/12/2017,Office Supplies,Appliances,Central,60.34
US-2018-156909,16/07/2018,Furniture,Chairs,East,71.372
CA-2016-106320,25/09/2016,Furniture,Tables,West,1044.63
CA-2017-121755,16/01/2017,Office Supplies,Binders,West,11.648
CA-2017-121755,16/01/2017,Technology,Accessories,West,90.57
US-2016-150630,17/09/2016,Furniture,Bookcases,East,3083.43
US-2016-150630,17/09/2016,Office Supplies,Binders,East,9.618
US-2016-150630,17/09/2016,Furniture,Furnishings,East,124.2
US-2016-150630,17/09/2016,Office Supplies,Envelopes,East,3.264
US-2016-150630,17/09/2016,Office Supplies,Art,East,86.304
US-2016-150630,17/09/2016,Office Supplies,Binders,East,6.858
US-2016-150630,17/09/2016,Office Supplies,Art,East,15.76
CA-2018-107727,19/10/2018,Office Supplies,Paper,Central,29.472
CA-2017-117590,08/12/2017,Technology,Phones,Central,1097.544
CA-2017-117590,08/12/2017,Furniture,Furnishings,Central,190.92
CA-2016-117415,27/12/2016,Office Supplies,Envelopes,Central,113.328
CA-2016-117415,27/12/2016,Furniture,Bookcases,Central,532.3992
CA-2016-117415,27/12/2016,Furniture,Chairs,Central,212.058
CA-2016-117415,27/12/2016,Technology,Phones,Central,371.168
CA-2018-120999,10/09/2018,Technology,Phones,Central,147.168
CA-2017-101343,17/07/2017,Office Supplies,Storage,West,77.88
CA-2018-139619,19/09/2018,Office Supplies,Storage,South,95.616
CA-2017-118255,11/03/2017,Technology,Accessories,Central,45.98
CA-2017-118255,11/03/2017,Office Supplies,Binders,Central,17.46
CA-2015-146703,20/10/2015,Office Supplies,Storage,Central,211.96
CA-2017-169194,20/06/2017,Technology,Accessories,East,45.0
CA-2017-169194,20/06/2017,Technology,Phones,East,21.8
CA-2016-115742,18/04/2016,Office Supplies,Binders,Central,38.22
CA-2016-115742,18/04/2016,Office Supplies,Labels,Central,75.18
CA-2016-115742,18/04/2016,Furniture,Furnishings,Central,6.16
CA-2016-115742,18/04/2016,Furniture,Chairs,Central,89.99
CA-2017-105816,11/12/2017,Office Supplies,Fasteners,East,15.26
CA-2017-105816,11/12/2017,Technology,Phones,East,1029.95
CA-2017-111682,17/06/2017,Office Supplies,Storage,East,208.56
CA-2017-111682,17/06/2017,Office Supplies,Paper,East,32.4
